trait,behavior,r,p
Openness,Mean Distance,0.05269356108086397,0.746755818143817
Openness,Mean Angle,-0.4394948464063364,0.004547717223409765
Openness,Hull Area,0.029401479733525547,0.85707910819917
Openness,Hull Change,-0.20962873212604577,0.1942023049392581
Conscientiousness,Mean Distance,-0.2034902679459867,0.20788538512242183
Conscientiousness,Mean Angle,-0.07917760425717904,0.6272170441207792
Conscientiousness,Hull Area,-0.18474774326675109,0.2537645174749018
Conscientiousness,Hull Change,0.06617258713281148,0.6849730744997683
Extraversion,Mean Distance,-0.2026274595962005,0.2098611067569599
Extraversion,Mean Angle,0.003823159615022651,0.9813207543905962
Extraversion,Hull Area,-0.2511815867069882,0.11795372280463944
Extraversion,Hull Change,-0.09901983402908665,0.5432572480158565
Agreeableness,Mean Distance,-0.10332393896971713,0.5257820676575164
Agreeableness,Mean Angle,-0.035839299864034724,0.8262213025337375
Agreeableness,Hull Area,-0.22456752787145162,0.16358357470537346
Agreeableness,Hull Change,-0.23981829377104083,0.1360937795488834
Neuroticism,Mean Distance,0.010249133684301946,0.9499517974238917
Neuroticism,Mean Angle,0.1431082740363642,0.37834905739703684
Neuroticism,Hull Area,0.06491118000057898,0.6906770278924574
Neuroticism,Hull Change,0.162467748773379,0.3165232956290725
