trait,behavior,r,p
Openness,Mean Distance,-0.669438681395203,0.017258884738857234
Openness,Mean Angle,0.669438681395203,0.017258884738857234
Openness,Hull Area,-0.5629370729914207,0.05669419783550167
Openness,Hull Change,0.10650160840378228,0.7418297170006141
Conscientiousness,Mean Distance,0.3492876250577025,0.2657689399097863
Conscientiousness,Mean Angle,-0.3492876250577025,0.2657689399097863
Conscientiousness,Hull Area,0.3796604620192419,0.22350521499467754
Conscientiousness,Hull Change,0.030372836961539352,0.9253462083142758
Extraversion,Mean Distance,-0.16463819352454367,0.6091260978231698
Extraversion,Mean Angle,0.16463819352454367,0.6091260978231698
Extraversion,Hull Area,-0.28437506154239356,0.3703462923026487
Extraversion,Hull Change,-0.11973686801784994,0.710895647881888
Agreeableness,Mean Distance,-0.12379689211803457,0.7014837611791663
Agreeableness,Mean Angle,0.12379689211803457,0.7014837611791663
Agreeableness,Hull Area,-0.3404414533245951,0.2788876793184353
Agreeableness,Hull Change,-0.21664456120656048,0.4988374823417143
Neuroticism,Mean Distance,0.08948249794078403,0.7821232927779013
Neuroticism,Mean Angle,-0.08948249794078403,0.7821232927779013
Neuroticism,Hull Area,0.13422374691117606,0.67749083520223
Neuroticism,Hull Change,0.044741248970392014,0.8901879293387744
